City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
327,Castro,BR,-24.79,-50.01,80.83,37,53,9.06,broken clouds
328,Broken Hill,AU,-31.95,141.43,57.2,44,0,10.29,clear sky
329,Ilulissat,GL,69.22,-51.1,39.2,80,75,2.24,broken clouds
330,Marawi,PH,8.0,124.29,75.0,93,100,5.99,overcast clouds
331,Sola,VU,-13.88,167.55,77.76,77,77,21.59,broken clouds
332,Kiruna,SE,67.86,20.23,50.0,93,100,3.36,light rain
333,Buin,CL,-33.73,-70.75,62.01,42,67,4.7,broken clouds
334,Taltal,CL,-25.4,-70.48,65.35,53,20,7.65,few clouds
335,Teya,RU,60.38,92.63,40.08,90,45,4.88,scattered clouds
336,Lata,PT,40.16,-8.33,89.01,55,0,3.0,clear sky
337,Quatre Cocos,MU,-20.21,57.76,69.8,83,75,12.75,shower rain
338,Concepcion,CL,-36.83,-73.05,57.2,67,75,8.05,broken clouds
339,Oregon,US,44.0,-120.5,80.01,18,0,7.0,clear sky
340,Turukhansk,RU,65.82,87.98,51.35,77,100,16.6,overcast clouds
341,Boa Vista,BR,2.82,-60.67,91.4,52,40,11.41,scattered clouds
342,Solnechnyy,RU,50.72,136.63,57.96,87,74,5.39,broken clouds
343,Bathsheba,BB,13.22,-59.52,87.8,66,40,13.87,scattered clouds
344,Biltine,TD,14.53,20.92,83.16,60,25,15.75,light rain
345,Salinopolis,BR,-0.61,-47.36,84.13,72,25,14.32,scattered clouds
346,Ballina,AU,-28.87,153.57,66.2,88,90,6.93,overcast clouds
347,Whitianga,NZ,-36.83,175.7,53.01,96,99,3.0,overcast clouds
348,Kenscoff,HT,18.45,-72.29,72.84,73,11,2.71,few clouds
349,Yashkino,RU,55.87,85.43,42.8,100,40,8.95,scattered clouds
350,Shenjiamen,CN,29.96,122.3,73.78,73,0,17.52,clear sky
351,Oistins,BB,13.07,-59.53,87.8,66,40,13.87,scattered clouds
352,Cornesti,RO,44.78,25.87,75.2,47,0,9.17,clear sky
353,Batagay-Alyta,RU,67.8,130.41,42.3,78,55,2.53,broken clouds
354,Idlib,SY,35.93,36.63,87.8,52,0,6.93,clear sky
355,Ville-Marie,CA,47.33,-79.43,60.8,55,75,8.05,broken clouds
356,Shingu,JP,33.73,135.98,76.19,84,5,7.38,clear sky
357,Denizli,TR,37.84,29.07,78.8,31,0,14.99,clear sky
358,Smithers,CA,54.78,-127.17,53.6,93,75,5.82,tornado
359,Sindor,RU,62.86,51.89,55.17,84,46,4.92,scattered clouds
360,Inirida,CO,3.87,-67.92,87.69,66,23,1.99,few clouds
361,Marienburg,PL,54.04,19.03,62.01,100,100,5.59,overcast clouds
362,Damietta,EG,31.42,31.81,79.97,77,0,11.88,clear sky
363,Hambantota,LK,6.12,81.12,81.34,78,99,11.34,overcast clouds
